,id,score
9590,3023,61.400000000000006
9589,667,61.400000000000006
9588,2090,61.410000000000004
9587,4189,61.410000000000004
9586,6325,61.419999999999995
9585,8613,61.43
9584,1804,61.44
9583,3458,61.45
9582,4951,61.45
9581,748,61.49000000000001
9580,1350,61.530000000000015
9579,6672,61.55
9578,1639,61.550000000000004
9577,923,61.550000000000004
9576,204,61.57
9575,1169,61.57000000000001
9574,6584,61.59
9573,7300,61.60000000000001
9572,1149,61.61
9571,368,61.610000000000014
9570,8459,61.63
9569,9236,61.650000000000006
9568,3304,61.67
9567,2846,61.67
9566,3241,61.67
9565,1179,61.67000000000001
9564,3186,61.690000000000005
9563,28,61.690000000000005
9562,5899,61.7
9561,6913,61.71000000000001
9560,3238,61.72
9559,2661,61.72
9558,1161,61.730000000000004
9557,2193,61.73000000000001
9556,6905,61.74
9555,2003,61.74
9554,5502,61.74000000000001
9553,887,61.75000000000001
9552,764,61.760000000000005
9551,2749,61.760000000000005
9550,6258,61.77000000000001
9549,5799,61.79
9548,2017,61.79
9547,7165,61.80000000000001
9546,34,61.82000000000001
9545,5467,61.84
9544,1862,61.85
9543,3492,61.86
9542,8358,61.870000000000005
9541,1764,61.88
9540,2543,61.88000000000001
9539,7073,61.88000000000001
9538,189,61.88000000000001
9537,1059,61.900000000000006
9536,2847,61.92
9535,554,61.92000000000001
9534,6518,61.93000000000001
9533,5954,61.940000000000005
9532,8876,61.940000000000005
9531,9931,61.940000000000005
9530,6969,61.940000000000005
9529,1701,61.940000000000005
9528,8736,61.94000000000001
9527,464,61.96
9526,4672,61.96000000000001
9525,3118,61.96000000000001
9524,5215,61.98
9523,4249,61.980000000000004
9522,5540,61.99000000000001
9521,5404,62.03
9520,5762,62.050000000000004
9519,4486,62.05000000000001
9518,174,62.06
9517,2670,62.09
9516,242,62.09000000000001
9515,8973,62.11
9514,3744,62.129999999999995
9513,6765,62.14
9512,2897,62.17
9511,1255,62.17
9510,4856,62.17
9509,2149,62.17000000000001
9508,2771,62.18000000000001
9507,3247,62.19
9506,1324,62.190000000000005
9505,3549,62.190000000000005
9504,7355,62.2
9503,3874,62.20000000000002
9502,9810,62.21000000000001
9501,3081,62.21000000000001
9500,2780,62.22
9499,2216,62.23
9498,8375,62.23
9497,21,62.23
9496,2103,62.230000000000004
9495,1090,62.230000000000004
9494,1004,62.230000000000004
9493,1601,62.23000000000001
9492,8018,62.24000000000001
9491,1945,62.25
9490,2481,62.28
9489,5520,62.28
9488,5005,62.290000000000006
9487,477,62.30000000000001
9486,7274,62.31
9485,6516,62.31
9484,3355,62.31000000000001
9483,87,62.32
9482,5952,62.32000000000001
9481,3780,62.33
9480,439,62.33000000000001
9479,5634,62.35
